description,hs_code,category
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size L color Black,6205,Apparel (Woven)
Ergonomic mesh office chair with wooden armrests - dark walnut,9403,Furniture
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size XS color Blue,6205,Apparel (Woven)
Cotton blend casual collar shirt short sleeve summer wear Grey,6205,Apparel (Vague)
Action Camera waterproof 5.3K - zoom lens included,8525,Camera/Optical
Nokia 3310 Retry GSM CDMA 5G 128GB,8517,Electronics/Networking
Clear Molded plastic protective shell carrying case [BPA-free] ID-9827,3926,Plastics
Rustic oak bookshelf 5-tier - stackable ID-8041,9403,Furniture
Blue Molded plastic protective shell carrying case [medium size],3926,Plastics
Security surveillance camera wireless - with smartphone wifi control,8525,Camera/Optical
Red Heavy duty plastic storage bin [impact resistant],3926,Plastics
Wooden dining table set with 4 chairs - dark walnut ID-7968,9403,Furniture
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size M color Grey,6109,Apparel (Knitted)
Molded plastic chair for indoor outdoor use - industrial style,9403,Furniture
Security surveillance camera wireless - outdoor proof,8525,Camera/Optical
Molded plastic chair for indoor outdoor use - light brown,9403,Furniture
Drone quadcopter with integrated high-definition broadcasting camera - with smartphone wifi control,8525,Camera/Optical
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size S color White,6109,Apparel (Knitted)
Galaxy S23 Ultra midnight color,8517,Electronics/Networking
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size XS color White ID-2575,6109,Apparel (Knitted)
Unisex heavy cotton relaxed fit graphic tee Navy size M,6109,Apparel (Vague)
Transparent Heavy duty plastic storage bin [stacking design],3926,Plastics
Unisex heavy cotton relaxed fit graphic tee Red size XXL,6109,Apparel (Vague)
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size S color Charcoal,6109,Apparel (Knitted)
Galaxy S23 Ultra GSM CDMA 5G 128GB,8517,Electronics/Networking
TP-Link WiFi 6 256GB Black Unlocked,8517,Electronics/Networking
Molded plastic chair for indoor outdoor use - stackable,9403,Furniture
Green Molded plastic protective shell carrying case [BPA-free],3926,Plastics
Clear Molded plastic protective shell carrying case [BPA-free],3926,Plastics
Cotton blend casual collar shirt short sleeve summer wear Green,6205,Apparel (Vague)
iPhone 14 Pro 512GB Ceramic Shield,8517,Electronics/Networking
Red Molded plastic protective shell carrying case [stacking design],3926,Plastics
Digital streaming apparatus with built-in camera - night vision capable,8525,Camera/Optical
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size XS color Yellow,6109,Apparel (Knitted)
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size XXL color Navy,6109,Apparel (Knitted)
Pixel 7 Pro GSM CDMA 5G 128GB,8517,Electronics/Networking
Cotton blend casual collar shirt short sleeve summer wear Blue ID-6721,6205,Apparel (Vague)
Cotton blend casual collar shirt short sleeve summer wear Blue ID-3807,6205,Apparel (Vague)
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size S color Grey,6109,Apparel (Knitted)
iPhone 14 Pro 256GB Black Unlocked,8517,Electronics/Networking
Galaxy S23 Ultra 24-Port Managed,8517,Electronics/Networking
Smartphone new in box,8517,Electronics/Networking
Ergonomic mesh office chair with wooden armrests - premium quality,9403,Furniture
Pixel 7 Pro refurbished factory,8517,Electronics/Networking
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size XL color Black ID-4991,6205,Apparel (Woven)
Wooden dining table set with 4 chairs - dark walnut,9403,Furniture
Mirrorless DSLR body only - night vision capable,8525,Camera/Optical
Smartphone 256GB Black Unlocked,8517,Electronics/Networking
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size XXL color Yellow,6205,Apparel (Woven)
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size M color White,6205,Apparel (Woven)
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size L color Olive ID-8754,6109,Apparel (Knitted)
Wooden dining table set with 4 chairs - easy assemble,9403,Furniture
Clear Molded plastic protective shell carrying case [27 gallon],3926,Plastics
Rustic oak bookshelf 5-tier - industrial style ID-5599,9403,Furniture
Red Small plastic step stool for kids [27 gallon],3926,Plastics
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size XXL color Green,6109,Apparel (Knitted)
Unisex heavy cotton relaxed fit graphic tee Black size L,6109,Apparel (Vague)
Unisex heavy cotton relaxed fit graphic tee Navy size S,6109,Apparel (Vague)
TP-Link WiFi 6 midnight color,8517,Electronics/Networking
Rustic oak bookshelf 5-tier - industrial style,9403,Furniture
Digital streaming apparatus with built-in camera - night vision capable ID-3338,8525,Camera/Optical
Digital Camera setup with 4K video - vlogging kit,8525,Camera/Optical
Cotton blend casual collar shirt short sleeve summer wear Blue,6205,Apparel (Vague)
Clear Plastic organizer box [multi-compartment],3926,Plastics
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size L color Grey,6205,Apparel (Woven)
iPhone 14 Pro new in box,8517,Electronics/Networking
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size XXL color White,6205,Apparel (Woven)
Unisex heavy cotton relaxed fit graphic tee Yellow size XXL,6109,Apparel (Vague)
Security surveillance camera wireless - brand new,8525,Camera/Optical
White Clear plastic desk organizer for office supplies [stacking design],3926,Plastics
Metal frame office desk with wooden tabletop - industrial style,9403,Furniture
Xiaomi 13 Router space gray,8517,Electronics/Networking
OnePlus 11 space gray,8517,Electronics/Networking
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size XL color Yellow,6109,Apparel (Knitted)
Blue Heavy duty plastic storage bin [BPA-free],3926,Plastics
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size XXL color Blue,6205,Apparel (Woven)
Molded plastic chair for indoor outdoor use - stackable ID-9499,9403,Furniture
Digital streaming apparatus with built-in camera - outdoor proof ID-483,8525,Camera/Optical
Rustic oak bookshelf 5-tier - weather resistant,9403,Furniture
TP-Link WiFi 6 512GB Ceramic Shield,8517,Electronics/Networking
5G Network Hub new in box,8517,Electronics/Networking
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size L color Grey,6109,Apparel (Knitted)
TP-Link WiFi 6 refurbished factory,8517,Electronics/Networking
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size XL color Red,6205,Apparel (Woven)
Blue Small plastic step stool for kids [medium size],3926,Plastics
Digital Camera setup with 4K video - 24.2 MP,8525,Camera/Optical
Cotton blend casual collar shirt short sleeve summer wear Navy,6205,Apparel (Vague)
Smartphone new in box ID-6012,8517,Electronics/Networking
Blue Heavy duty plastic storage bin [with snap lid],3926,Plastics
Men's 100% Cotton Crewneck T-Shirt Knitted short sleeve size M color Blue,6109,Apparel (Knitted)
Transparent Clear plastic desk organizer for office supplies [multi-compartment],3926,Plastics
Security surveillance camera wireless - zoom lens included,8525,Camera/Optical
Men's Long Sleeve Button-Down Oxford Dress Shirt woven size S color Black,6205,Apparel (Woven)
5G Network Hub 512GB Ceramic Shield,8517,Electronics/Networking
Mirrorless DSLR body only - outdoor proof,8525,Camera/Optical
